"","SAMPLE_ID","GENUS","GENUS_NAME","CVM_NUMBER","GROWTH","SPECIES","SEROTYPE","ANTIGENIC_FORMULA","ISOLATE_ID","RECEIVED_DATE","PLATE","STATE","Month","Year","MEAT_TYPE","CUTS","SELLBY_DATE","ACQUISITION_DATE","COMPLETED_BY","ORGANIC_IND","ANTIBIOTIC_IND","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","AMC.Sign","AMC","AMC.SIR","AMI.Sign","AMI","AMI.SIR","AMP.Sign","AMP","AMP.SIR","ATM.Sign","ATM","ATM.SIR","AXO.Sign","AXO","AXO.SIR","AZI.Sign","AZI","AZI.SIR","BAC.Sign","BAC","BAC.SIR","CAZ.Sign","CAZ","CAZ.SIR","CCV.Sign","CCV","CCV.SIR","CEP.Sign","CEP","CEP.SIR","CEQ.Sign","CEQ","CEQ.SIR","CHL.Sign","CHL","CHL.SIR","CIP.Sign","CIP","CIP.SIR","CLI.Sign","CLI","CLI.SIR","COT.Sign","COT","COT.SIR","CTC.Sign","CTC","CTC.SIR","CTX.Sign","CTX","CTX.SIR","DAP.Sign","DAP","DAP.SIR","DOX.Sign","DOX","DOX.SIR","ERY.Sign","ERY","ERY.SIR","FEP.Sign","FEP","FEP.SIR","FFN.Sign","FFN","FFN.SIR","FIS.Sign","FIS","FIS.SIR","FLA.Sign","FLA","FLA.SIR","FOX.Sign","FOX","FOX.SIR","GEN.Sign","GEN","GEN.SIR","IMI.Sign","IMI","IMI.SIR","KAN.Sign","KAN","KAN.SIR","LIN.Sign","LIN","LIN.SIR","LZD.Sign","LZD","LZD.SIR","MER.Sign","MER","MER.SIR","NAL.Sign","NAL","NAL.SIR","NIT.Sign","NIT","NIT.SIR","PEN.Sign","PEN","PEN.SIR","PTZ.Sign","PTZ","PTZ.SIR","QDA.Sign","QDA","QDA.SIR","SAL.Sign","SAL","SAL.SIR","SMX.Sign","SMX","SMX.SIR","STR.Sign","Str","STR.SIR","TEL.Sign","TEL","TEL.SIR","TET.Sign","TET","TET.SIR","TGC.Sign","TGC","TGC.SIR","TIO.Sign","TIO","TIO.SIR","TYL.Sign","TYL","TYL.SIR","VAN.Sign","VAN","VAN.SIR","APR.Sign","APR","DAN.Sign","DAN","DIF.Sign","DIF","EFX.Sign","EFX","GAT.Sign","GAT","LVX.Sign","LVX","MAR.Sign","MAR","OBX.Sign","OBX","TIC.Sign","TIC","GENOTYPE","ACCESSION_NUMBER","Aminoglycoside.Resist.Genes","Beta.lactam.Resist.Genes","Glycopeptide.Resist.Genes","Macrolide.Resist.Genes","QAC.Resist.Genes","Quinolone.Resist.Genes","Sulfonamide.Resist.Genes","Tetracycline.Resist.Genes","Trimethoprim.Resist.Genes","Phenicol.Resist.Genes","Other.Classes.Resist.Genes","cefres"
"4433","08MD06GT245","S","Salmonella","N18452","YES","","Muenchen","","08MD06GT245-S","","CMV1AGNF","MD",6,2008,"GT","","6/26/08","6/23/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","=",0.5,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4434","08MD06GT248","S","Salmonella","N18453","YES","","Heidelberg","","08MD06GT248-S","","CMV1AGNF","MD",6,2008,"GT","","6/26/08","6/23/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","=",8,"S","=",2,"S",">",32,"R","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S",">",16,"R","",NA,"","=",16,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4435","08MD06GT249","S","Salmonella","N18454","YES","","Heidelberg","","08MD06GT249-S","","CMV1AGNF","MD",6,2008,"GT","","7/3/08","6/23/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4442","08MD07CB700411","S","Salmonella","N19808","YES","","Typhimurium","","08MD07CB700411-S","","CMV1AGNF","MD",7,2008,"CB","","8/3/08","7/28/08","AKL","NO","","","FDA","Retail Chickens","Chickens","",">",32,"R","=",1,"S",">",32,"R","",NA,"","=",16,"R","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"",">",32,"R","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"4444","08MD07CB700412","S","Salmonella","N19809","YES","","Typhimurium","","08MD07CB700412-S","","CMV1AGNF","MD",7,2008,"CB","","8/3/08","7/28/08","AKL","NO","","","FDA","Retail Chickens","Chickens","",">",32,"R","=",1,"S",">",32,"R","",NA,"","=",16,"R","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"",">",32,"R","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"4446","08MD07GT700415","S","Salmonella","N19810","YES","","Saintpaul","","08MD07GT700415-S","","CMV1AGNF","MD",7,2008,"GT","","8/5/08","7/28/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4447","08MD07GT700416","S","Salmonella","N19811","YES","","Saintpaul","","08MD07GT700416-S","","CMV1AGNF","MD",7,2008,"GT","","8/5/08","7/28/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",1,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4448","08MD07GT700418","S","Salmonella","N19812","YES","","Hadar","","08MD07GT700418-S","","CMV1AGNF","MD",7,2008,"GT","","8/3/08","7/28/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"","=",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4450","08MD08CB700815","S","Salmonella","N19813","YES","","Enteritidis","","08MD08CB700815-S","","CMV1AGNF","MD",8,2008,"CB","","8/21/08","8/18/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","=",8,"S","=",1,"S",">",32,"R","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4452","08MD08CB700816","S","Salmonella","N19814","YES","","Typhimurium","","08MD08CB700816-S","","CMV1AGNF","MD",8,2008,"CB","","8/22/08","8/18/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S","=",0.5,"S","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4454","08MD08CB700819","S","Salmonella","N19815","YES","","Typhimurium","","08MD08CB700819-S","","CMV1AGNF","MD",8,2008,"CB","","8/22/08","8/18/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","=",16,"I","=",1,"S",">",32,"R","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S","<=",0.25,"S","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4456","08MD08CB700821","S","Salmonella","N19816","YES","","Typhimurium","","08MD08CB700821-S","","CMV1AGNF","MD",8,2008,"CB","","8/23/08","8/18/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","=",2,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S","=",0.5,"S","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4458","08MD08CB700822","S","Salmonella","N19817","YES","","Enteritidis","","08MD08CB700822-S","","CMV1AGNF","MD",8,2008,"CB","","8/25/08","8/18/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4459","08MD08CB700897","S","Salmonella","N19818","YES","","Enteritidis","","08MD08CB700897-S","","CMV1AGNF","MD",8,2008,"CB","","8/25/08","8/20/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","=",8,"S","=",1,"S",">",32,"R","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4460","08MD08CB700898","S","Salmonella","N19896","YES","","Braenderup","","08MD08CB700898-S","","CMV1AGNF","MD",8,2008,"CB","","8/23/08","8/20/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",1,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",1,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4461","08MD08GT700829","S","Salmonella","N19897","YES","","Hadar","","08MD08GT700829-S","","CMV1AGNF","MD",8,2008,"GT","","8/18/08","8/18/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",1,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4462","08MD09CB701343","S","Salmonella","N18341","YES","","Typhimurium","","08MD09CB701343-S","","CMV1AGNF","MD",9,2008,"CB","","10/5/08","9/29/08","AKL","NO","","","FDA","Retail Chickens","Chickens","",">",32,"R","=",1,"S",">",32,"R","",NA,"","=",16,"R","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",32,"R","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"4463","08MD09CB701344","S","Salmonella","N18342","YES","","Typhimurium","","08MD09CB701344-S","","CMV1AGNF","MD",9,2008,"CB","","10/6/08","9/29/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","=",32,"R","=",1,"S",">",32,"R","",NA,"","=",8,"R","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",32,"R",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"4465","08MD09CB701346","S","Salmonella","N19898","YES","","Typhimurium","","08MD09CB701346-S","","CMV1AGNF","MD",9,2008,"CB","","10/2/08","9/29/08","AKL","NO","","","FDA","Retail Chickens","Chickens","",">",32,"R","=",1,"S",">",32,"R","",NA,"","=",32,"R","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"",">",32,"R","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"4466","08MD09CB701347","S","Salmonella","N19819","YES","","Enteritidis","","08MD09CB701347-S","","CMV1AGNF","MD",9,2008,"CB","","10/2/08","9/29/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",1,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4468","08MD09CB701348","S","Salmonella","N18343","YES","","Typhimurium","","08MD09CB701348-S","","CMV1AGNF","MD",9,2008,"CB","","10/5/08","9/29/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S","=",0.5,"S","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4469","08MD09CB701349","S","Salmonella","N18344","YES","","Enteritidis","","08MD09CB701349-S","","CMV1AGNF","MD",9,2008,"CB","","10/6/08","9/29/08","AKL","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4470","08MD09GT701354","S","Salmonella","N19899","YES","","Albany","","08MD09GT701354-S","","CMV1AGNF","MD",9,2008,"GT","","10/2/08","9/29/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",4,"S",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4471","08MD09GT701360","S","Salmonella","N19821","YES","","Berta","","08MD09GT701360-S","","CMV1AGNF","MD",9,2008,"GT","","10/1/08","9/29/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",1,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"4472","08MD09GT701361","S","Salmonella","N19822","YES","","Heidelberg","","08MD09GT701361-S","","CMV1AGNF","MD",9,2008,"GT","","10/3/08","9/29/08","AKL","NO","","","FDA","Retail Ground Turkey","Turkeys","","=",8,"S","=",2,"S",">",32,"R","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S",">",16,"R","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",2,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
